FECHA|TIPO_ACTOR|CODIGO_MUNICIPIO|NOMBRE_MUNICIPIO|CODIGO_DEPARTAMENTO|NOMBRE_DEPARTAMENTO|ESTADO_TRAMITE|REGISTRO|COD_TRAMITE|DESCRIPCIÓN|CANTIDAD
2024/05/19|ASEGURADORA|11001000|BOGOTA|11|BOGOTA D.C.|APROBADO|RNS|8001|SOAT|12980
2024/05/19|ASEGURADORA|11001000|BOGOTA|11|BOGOTA D.C.|APROBADO|RNS|8002|RCC|21
2024/05/19|ASEGURADORA|5001000|MEDELLIN|5|ANTIOQUIA|APROBADO|RNS|8001|SOAT|2577
2024/05/19|ASEGURADORA|5001000|MEDELLIN|5|ANTIOQUIA|APROBADO|RNS|8002|RCC|5
2024/05/19|EMPRESA TRANSPORTE|11001000|BOGOTA|11|BOGOTA D.C.|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|187
2024/05/19|EMPRESA TRANSPORTE|13001000|CARTAGENA|13|BOLIVAR|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|8
2024/05/19|EMPRESA TRANSPORTE|13430000|MAGANGUE|13|BOLIVAR|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|13468000|MOMPOS|13|BOLIVAR|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|15001000|TUNJA|15|BOYACA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|13
2024/05/19|EMPRESA TRANSPORTE|15172000|CHINAVITA|15|BOYACA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|15176000|CHIQUINQUIRA|15|BOYACA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|4
2024/05/19|EMPRESA TRANSPORTE|15238000|DUITAMA|15|BOYACA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|14
2024/05/19|EMPRESA TRANSPORTE|15407000|VILLA DE LEYVA|15|BOYACA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|15469000|MONIQUIRA|15|BOYACA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|15516000|PAIPA|15|BOYACA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|6
2024/05/19|EMPRESA TRANSPORTE|15759000|SOGAMOSO|15|BOYACA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|7
2024/05/19|EMPRESA TRANSPORTE|15776000|SUTAMARCHAN|15|BOYACA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|2
2024/05/19|EMPRESA TRANSPORTE|17001000|MANIZALES|17|CALDAS|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|11
2024/05/19|EMPRESA TRANSPORTE|17013000|AGUADAS|17|CALDAS|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|17042000|ANSERMA|17|CALDAS|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|17088000|BELALCAZAR|17|CALDAS|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|2
2024/05/19|EMPRESA TRANSPORTE|17174000|CHINCHINA|17|CALDAS|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|7
2024/05/19|EMPRESA TRANSPORTE|17614000|RIOSUCIO|17|CALDAS|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|17777000|SUPIA|17|CALDAS|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|2
2024/05/19|EMPRESA TRANSPORTE|18001000|FLORENCIA|18|CAQUETA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|8
2024/05/19|EMPRESA TRANSPORTE|18410000|LA MONTANITA|18|CAQUETA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|18592000|PUERTO RICO|18|CAQUETA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|18753000|SAN VICENTE DEL CAGUAN|18|CAQUETA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|19001000|POPAYAN|19|CAUCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|3
2024/05/19|EMPRESA TRANSPORTE|19050000|ARGELIA|19|CAUCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|19075000|BALBOA|19|CAUCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|2
2024/05/19|EMPRESA TRANSPORTE|19100000|BOLIVAR|19|CAUCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|19364000|JAMBALO|19|CAUCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|2
2024/05/19|EMPRESA TRANSPORTE|19548000|PIENDAMO|19|CAUCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|2
2024/05/19|EMPRESA TRANSPORTE|19698000|SANTANDER DE QUILICHAO|19|CAUCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|6
2024/05/19|EMPRESA TRANSPORTE|19743000|SILVIA|19|CAUCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|20011000|AGUACHICA|20|CESAR|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|20178000|CHIRIGUANA|20|CESAR|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|20400000|LA JAGUA DE IBIRICO|20|CESAR|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|3
2024/05/19|EMPRESA TRANSPORTE|23001000|MONTERIA|23|CORDOBA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|7
2024/05/19|EMPRESA TRANSPORTE|23162000|CERETE|23|CORDOBA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|23189000|CIENAGA DE ORO|23|CORDOBA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|23417000|LORICA|23|CORDOBA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|23466000|MONTELIBANO|23|CORDOBA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|3
2024/05/19|EMPRESA TRANSPORTE|23580000|PUERTO LIBERTADOR|23|CORDOBA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|23678000|SAN CARLOS|23|CORDOBA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|25035000|ANAPOIMA|25|CUNDINAMARCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|2
2024/05/19|EMPRESA TRANSPORTE|25126000|CAJICA|25|CUNDINAMARCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|3
2024/05/19|EMPRESA TRANSPORTE|25151000|CAQUEZA|25|CUNDINAMARCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|25175000|CHIA|25|CUNDINAMARCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|13
2024/05/19|EMPRESA TRANSPORTE|25183000|CHOCONTA|25|CUNDINAMARCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|25214000|COTA|25|CUNDINAMARCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|6
2024/05/19|EMPRESA TRANSPORTE|25286000|FUNZA|25|CUNDINAMARCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|7
2024/05/19|EMPRESA TRANSPORTE|25307000|GIRARDOT|25|CUNDINAMARCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|3
2024/05/19|EMPRESA TRANSPORTE|25326000|GUATAVITA|25|CUNDINAMARCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|25377000|LA CALERA|25|CUNDINAMARCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|25402000|LA VEGA|25|CUNDINAMARCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|2
2024/05/19|EMPRESA TRANSPORTE|25473000|MOSQUERA|25|CUNDINAMARCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|5
2024/05/19|EMPRESA TRANSPORTE|25489000|NIMAIMA|25|CUNDINAMARCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|25645000|SAN ANTONIO DEL TEQUENDAMA|25|CUNDINAMARCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|25658000|SAN FRANCISCO|25|CUNDINAMARCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|25718000|SASAIMA|25|CUNDINAMARCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|25736000|SESQUILE|25|CUNDINAMARCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|25754000|SOACHA|25|CUNDINAMARCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|3
2024/05/19|EMPRESA TRANSPORTE|25758000|SOPO|25|CUNDINAMARCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|25769000|SUBACHOQUE|25|CUNDINAMARCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|3
2024/05/19|EMPRESA TRANSPORTE|25785000|TABIO|25|CUNDINAMARCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|25815000|TOCAIMA|25|CUNDINAMARCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|25817000|TOCANCIPA|25|CUNDINAMARCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|3
2024/05/19|EMPRESA TRANSPORTE|25841000|UBAQUE|25|CUNDINAMARCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|25843000|UBATE|25|CUNDINAMARCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|2
2024/05/19|EMPRESA TRANSPORTE|25878000|VIOTA|25|CUNDINAMARCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|25899000|ZIPAQUIRA|25|CUNDINAMARCA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|27001000|QUIBDO|27|CHOCO|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|4
2024/05/19|EMPRESA TRANSPORTE|41001000|NEIVA|41|HUILA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|19
2024/05/19|EMPRESA TRANSPORTE|41396000|LA PLATA|41|HUILA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|41530000|PALESTINA|41|HUILA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|41551000|PITALITO|41|HUILA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|41797000|TESALIA|41|HUILA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|44001000|RIOHACHA|44|LA GUAJIRA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|1
2024/05/19|EMPRESA TRANSPORTE|47001000|SANTA MARTA|47|MAGDALENA|APROBADO|PVO|101|PLANILLA DE VIAJE OCASIONAL|19
